product_id,product_name,category_id
ACL01,Áo Bóng Đá Câu Lạc Bộ Real Madrid Trắng Rồng Đen 2025-2026,ACL
ACL02,Áo Bóng Đá Câu Lạc Bộ Tottenham Hotspur Đen 2025-2026,ACL
ACL03,Áo Thi Đấu Wika CLB Đông Á Thanh Hoá (Bản Fan),ACL
ACL04,Áo Bóng Đá Câu Lạc Bộ Barca Đen 2025-2026,ACL
ACL05,Áo Bóng Đá Câu Lạc Bộ Liverpool Kem Sân Khách 2025-2026,ACL
ADT01,Áo Bóng Đá Đội Tuyển Đức Trắng 2025 - 2026,ADT
ADT02,Áo Bóng Đá Đội Tuyển Ý Đen Retro 2025,ADT
ADT03,Áo Bóng Đá Đội Tuyển Brazil Vàng 2025,ADT
ADT04,Áo Bóng Đá ĐT Argentina Trắng Sọc Xanh Đậm 2024 - 2025,ADT
ADT05,Áo Bóng Đá Đội Tuyển Việt Nam,ADT
AKL01,Áo Bóng Đá Không Logo Kamito Goal 02 Cam,AKL
AKL02,Áo Bóng Đá Không Logo Kamito Goal 02 Vàng Đen,AKL
AKL03,Áo Bóng Đá Không Logo CP CP Base 01 Vàng,AKL
AKL04,Áo Bóng Đá Không Logo Kamito Goal 03 Đen,AKL
AKL05,Áo Bóng Đá Không Logo Bulbal Vingar 3 Xanh Navy,AKL
BOG01,Quả Bóng Động Lực Victor UMG 3.147 D Size 5,BOG
BOG02,Bóng Thiên Long Vằn Dày Size 5,BOG
BOG03,Bóng Động Lực FiFa Basic UHV 2.153 Terra Tím Size 5,BOG
BOG04,Quả bóng động lực chính hãng UHV 1.02 Size 4,BOG
BOG05,Quả Bóng Động Lực 2.05 Size 4 UHV Spectro,BOG
GDB01,Giày Bóng Đá Zocker ZTF Inspire Pro 2 Đỏ,GDB
GDB02,Giày Bóng Đá Zocker ZTF Inspire Pro 2 Trắng,GDB
GDB03,Giày Bóng Đá Wika Ultra 6 Xanh Trắng,GDB
GDB04,Giày Bóng Đá Wika Ultra 6 Trắng Đen,GDB
GDB05,Giày Bóng Đá Wika Ultra 6 (màu khác),GDB
GKV01,Găng Tay thủ Môn GKVN,GKV
GKV02,Găng Tay Thủ Môn Wika Forus Xanh Dương,GKV
GKV03,Găng Tay Thủ Môn Wika Forus Đen,GKV
GKV04,Găng Tay Thủ Môn Wika Forus Xanh Lá,GKV
GKV05,Găng Tay Thủ Môn GKVN Phá 2025 Vàng,GKV
LOT01,Lót Giày Sao Vàng,LOT
LOT02,Tất Thể Thao Wika 01,LOT
LOT03,Tất Chống Trơn Riki,LOT
LOT04,Băng Cổ Tay Yonex,LOT
LOT05,Băng Cuốn Bảo Vệ Mắt Cá Chân Aolikes AL7130,LOT
PKB01,Băng Cuốn Bảo Vệ Mắt Cá Chân Aolikes AL7130,PKB
PKB02,Bó Gối PJ Trắng,PKB
PKB03,Chai Xịt Lạnh Giảm Đau LIGPRO 160ml,PKB
PKB04,Bộ Dây Kháng Lực Aolikes,PKB
PKB05,Nấm Tập Luyện,PKB
TRE01,Áo Bóng Đá Trẻ Em Không Logo Bulbal Vingar 3 Xanh Navy,TRE
TRE02,Áo Bóng Đá Trẻ Em Không Logo Bulbal Vingar 3 Đỏ,TRE
TRE03,Áo Bóng Đá Đội Tuyển Brazil Trẻ Em Vàng 2025-2026,TRE
TRE04,Áo Bóng Đá Câu Lạc Bộ Manchester United Trẻ Em Đen Xám 2025-2026,TRE
TRE05,Áo Bóng Đá Câu Lạc Bộ Real Madrid Trẻ Em Xám 2025-2026,TRE
TUI01,Balo Wika Corepack Đen Ngọc,TUI
TUI02,Balo Wika Corepack Đen Chuối,TUI
TUI03,Túi đựng đồ bóng đá Arsenal đen,TUI
TUI04,Túi Đựng Giày Đa Năng Kamito Style Pro KMTUI230340 Màu Đen,TUI
TUI05,Túi Đựng Đồ loại lớn KT 55x38cm,TUI
